			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Pech	Pech	1	 	 	x	 	3	2	2	3	0	2	2	3	3	5	5	5	15	10	5	5	5	5	1	1	2	2	"{Pech}

Zmniejsza szczêœcie wrogiego oddzia³u o 2. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Pech}
{Poziom podstawowy}

Zmniejsza szczêœcie wrogiego oddzia³u o 2. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Pech}
{Poziom zaawansowany}

Zmniejsza szczêœcie wrogiego oddzia³u o 3. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Pech}
{Poziom eksperta}

Zmniejsza szczêœcie wszystkich wrogich oddzia³ów o 3. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Przyœpieszenie	Przyœpieszenie	3		 	 	x	6	4	4	8	0	3	3	5	5	7	5	5	5	8	5	10	5	5	5	5	10	10	"{Przyœpieszenie}

Zwiêksza szybkoœæ wskazanego sojuszniczego oddzia³u o 3 punkty. Usuwa efekt spowolnienia. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Przyœpieszenie}
{Poziom podstawowy}

Zwiêksza szybkoœæ wskazanego sojuszniczego oddzia³u o 3 punkty. Usuwa efekt spowolnienia. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Przyœpieszenie}
{Poziom zaawansowany}

Zwiêksza szybkoœæ wskazanego sojuszniczego oddzia³u o 5 punktów. Usuwa efekt spowolnienia. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Przyœpieszenie}
{Poziom eksperta}

Zwiêksza szybkoœæ wszystkich sojuszniczych oddzia³ów o 5 punktów. Usuwa efekt spowolnienia. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Spowolnienie	Spowolnienie	3	x	 	 	 	6	5	5	10	0	75	75	50	50	5	10	5	5	8	5	7	15	5	5	5	15	15	"{Spowolnienie}

Zmniejsza szybkoœæ wskazanego wrogiego oddzia³u wed³ug formu³y (szybkoœæ oddzia³u x 0.75) z zaokr¹gleniem w dó³. Usuwa efekt przyœpieszenia. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Spowolnienie}
{Poziom podstawowy}

Zmniejsza szybkoœæ wskazanego wrogiego oddzia³u wed³ug formu³y (szybkoœæ oddzia³u x 0.75) z zaokr¹gleniem w dó³. Usuwa efekt przyœpieszenia. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Spowolnienie}
{Poziom zaawansowany}

Zmniejsza szybkoœæ wskazanego wrogiego oddzia³u wed³ug formu³y (szybkoœæ oddzia³u x 0.5 + 1) z zaokr¹gleniem w dó³. Usuwa efekt przyœpieszenia. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Spowolnienie}
{Poziom eksperta}

Zmniejsza szybkoœæ wszystkich wrogich oddzia³ów wed³ug formu³y (szybkoœæ oddzia³u x 0.5 + 1) z zaokr¹gleniem w dó³. Usuwa efekt przyœpieszenia. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Pogromca	Pogromca	2	 		x	 	6	4	4	4	0	8	8	8	8	10	5	5	5	0	5	5	3	5	1	1	1	1	"{Pogromca}

Zwiêksza parametr ataku wybranego oddzia³u w walce przeciwko smokom, hydrom,  behemotom, haspidom i couatlom o 8 punktów. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera."	"{Pogromca}
{Poziom podstawowy}

Zwiêksza parametr ataku wybranego oddzia³u w walce przeciwko smokom, hydrom, behemotom, haspidom i couatlom o 8 punktów. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Pogromca}
{Poziom zaawansowany}

Zwiêksza parametr ataku wybranego oddzia³u w walce przeciwko smokom, hydrom, behemotom, haspidom, couatlom, anio³om i diab³om o 8 punktów. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Pogromca}
{Poziom eksperta}

Zwiêksza parametr ataku wybranego oddzia³u w walce przeciwko smokom, hydrom, behemotom, haspidom, couatlom, anio³om, diab³om, gigantom i dreadnotom o 8 punktów. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET
Sza³	Sza³	3	 	 	x	 	10	8	8	8	0	100	100	150	200	3	5	5	10	0	8	10	5	0	10	10	20	30	"{Sza³}

Czar umys³u. Parametr ataku wybranego oddzia³u zostaje podwojony. Obrona oddzia³u zostaje zredukowana do 0. Czar trwa do momentu, a¿ cel wykona jak¹œ akcjê.
"	"{Sza³}
{Poziom podstawowy}

Czar umys³u. Parametr ataku wybranego oddzia³u zostaje podwojony. Obrona oddzia³u zostaje zredukowana do 0. Czar trwa do momentu, a¿ cel wykona jak¹œ akcjê.
"	"{Sza³}
{Poziom zaawansowany}

Czar umys³u. Parametr ataku wybranego oddzia³u zostaje zwiêkszony o 150%. Obrona oddzia³u zostaje zredukowana do 0. Czar trwa do momentu, a¿ cel wykona jak¹œ akcjê.
"	"{Sza³}
{Poziom eksperta}

Czar umys³u. Parametr ataku wybranego oddzia³u zostaje potrojony. Obrona oddzia³u zostaje zredukowana do 0. Czar trwa do momentu, a¿ cel wykona jak¹œ akcjê.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
B³yskawica tytana	B³yskawica tytana	5				x	0	0	0	0	60	600	600	600	600	0	0	0	0	0	0	0	0	0	150	150	150	150	"{B³yskawica tytana}

Œci¹ga uderzenie pioruna na oddzia³ wroga, zadaj¹c mu 600 + (60 x moc) punktów obra¿eñ.
"	"{B³yskawica tytana}

Œci¹ga uderzenie pioruna na oddzia³ wroga, zadaj¹c mu 600 + (60 x moc) punktów obra¿eñ.
"	"{B³yskawica tytana}

Œci¹ga uderzenie pioruna na oddzia³ wroga, zadaj¹c mu 600 + (60 x moc) punktów obra¿eñ.
"	"{B³yskawica tytana}

Œci¹ga uderzenie pioruna na oddzia³ wroga, zadaj¹c mu 600 + (60 x moc) punktów obra¿eñ.
"	
Kontratak	Kontratak	1	 	 	 	x	2	1	1	1	0	2	2	3	3	10	5	5	5	5	5	10	5	5	20	20	30	30	"{Kontratak}

Wybrany sojuszniczy oddzia³ otrzymuje dodatkowy kontrataku na turê. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Kontratak}
{Poziom podstawowy}

Wybrany sojuszniczy oddzia³ otrzymuje dodatkowy kontrataku na turê. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Kontratak}
{Poziom zaawansowany}

Wybrany sojuszniczy oddzia³ otrzymuje trzy dodatkowe kontrataki na turê. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Kontratak}
{Poziom eksperta}

Wszystkie sojusznicze oddzia³y otrzymuj¹ dwa dodatkowe kontrataki na turê. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Berserk	Berserk	4	 	 	x	 	18	16	16	16	0	0	0	1	2	5	5	5	10	10	5	0	0	5	60	60	60	60	"{Berserk}

Czar umys³u. Wybrany oddzia³ zatakuje najbli¿sz¹ sobie jednostkê. Usuwa efekt hipnozy. Dzia³anie zaklêcia trwa do momentu, a¿ jednostka zaatakuje inny oddzia³.
"	"{Berserk}
{Poziom podstawowy}

Czar umys³u. Wybrany oddzia³ zatakuje najbli¿sz¹ sobie jednostkê. Usuwa efekt hipnozy. Dzia³anie zaklêcia trwa do momentu, a¿ jednostka zaatakuje inny oddzia³.
"	"{Berserk}
{Poziom zaawansowany}

Czar umys³u. Wybrane oddzia³y w polu dzia³ania czaru zatakuj¹ najbli¿sze sobie jednostki. Usuwa efekt hipnozy. Dzia³anie zaklêcia trwa do momentu, a¿ jednostka zaatakuje inny oddzia³.
"	"{Berserk}
{Poziom eksperta}

Czar umys³u. Wybrane oddzia³y w polu dzia³ania czaru zatakuj¹ najbli¿sze sobie jednostki. Usuwa efekt hipnozy. Dzia³anie zaklêcia trwa do momentu, a¿ jednostka zaatakuje inny oddzia³.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Hipnoza	Hipnoza	4	 	 	 	x	18	15	15	15	30	10	10	20	50	5	5	10	5	10	10	0	0	5	15	15	25	50	"{Hipnoza}

Czar umys³u. Gracz przejmuje kontrolê nad wybranym wrogim oddzia³em, o ³¹cznej liczbie punktów ¿ycia równej (10 + 30 x moc). Usuwa efekt berserkera. Oddzia³y sojusznicze mog¹ atakowaæ zahipnotyzowany cel bez obawy o kontratak. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Hipnoza}
{Poziom podstawowy}

Czar umys³u. Gracz przejmuje kontrolê nad wybranym wrogim oddzia³em, o ³¹cznej liczbie punktów ¿ycia równej (10 + 30 x moc). Usuwa efekt berserkera. Oddzia³y sojusznicze mog¹ atakowaæ zahipnotyzowany cel bez obawy o kontratak. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Hipnoza}
{Poziom zaawansowany}

Czar umys³u. Gracz przejmuje kontrolê nad wybranym wrogim oddzia³em, o ³¹cznej liczbie punktów ¿ycia równej (20 + 30 x moc). Usuwa efekt berserkera. Oddzia³y sojusznicze mog¹ atakowaæ zahipnotyzowany cel bez obawy o kontratak. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Hipnoza}
{Poziom eksperta}

Czar umys³u. Gracz przejmuje kontrolê nad wybranym wrogim oddzia³em, o ³¹cznej liczbie punktów ¿ycia równej (50 + 30 x moc). Usuwa efekt berserkera. Oddzia³y sojusznicze mog¹ atakowaæ zahipnotyzowany cel bez obawy o kontratak. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Zapomnienie	Zapomnienie	3	 	x	 	 	7	5	5	9	0	0	0	0	0	5	8	5	5	8	5	5	10	10	1	1	1	1	"{Zapomnienie}

Czar umys³u. Po³owa jednostek we wrogim oddziale zapomina o ataku na odleg³oœæ. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ od ataków dystansowych wynosi 50%."	"{Zapomnienie}
{Poziom podstawowy}

Czar umys³u. Po³owa jednostek we wrogim oddziale zapomina o ataku na odleg³oœæ. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.

Redukcja obra¿eñ od ataków dystansowych wynosi 50%.
"	"{Zapomnienie}
{Poziom zaawansowany}

Czar umys³u. Wszystkie jednostki we wrogim oddziale strzelniczym trac¹ mo¿liwoœæ ataku na odleg³oœæ. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Zapomnienie}
{Poziom eksperta}

Czar umys³u. Wszystkie wrogie oddzia³y strzelnicze trac¹ mo¿liwoœæ ataku na odleg³oœæ. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Oœlepienie	Oœlepienie	3	 	 	x	 	9	7	7	7	0	50	50	25	0	5	10	5	10	8	10	5	5	5	50	50	50	50	"{Oœlepienie}

Czar umys³u. Oœlepia wybrany oddzia³. Nie mo¿e siê on ruszaæ, a kontratak w jego wykonaniu zadaje 50% mniej obra¿eñ. Oœlepienie trwa, a¿ oddzia³ zostanie zaatakowany b¹dŸ zaklêcie zostanie rozproszone. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Oœlepienie}
{Poziom podstawowy}

Czar umys³u. Oœlepia wybrany oddzia³. Nie mo¿e siê on ruszaæ, a kontratak w jego wykonaniu zadaje 50% mniej obra¿eñ. Oœlepienie trwa, a¿ oddzia³ zostanie zaatakowany b¹dŸ zaklêcie zostanie rozproszone. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Oœlepienie}
{Poziom zaawansowany}

Czar umys³u. Oœlepia wybrany oddzia³. Nie mo¿e siê on ruszaæ, a kontratak w jego wykonaniu zadaje 75% mniej obra¿eñ. Oœlepienie trwa, a¿ oddzia³ zostanie zaatakowany b¹dŸ zaklêcie zostanie rozproszone. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Oœlepienie}
{Poziom eksperta}

Czar umys³u. Oœlepia wybrany oddzia³. Nie mo¿e siê on ruszaæ ani kontratakowaæ. Oœlepienie trwa, a¿ oddzia³ zostanie zaatakowany b¹dŸ zaklêcie zostanie rozproszone. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET
Teleportacja	Teleportacja	3	 	x	 	 	9	7	5	3	0	0	0	0	0	5	5	15	5	8	5	5	10	5	20	20	20	20	"{Teleport}

Przenosi wybrany przyjazny oddzia³ na dowolne niezajête pole na polu bitwy. Nie mo¿e teleportowaæ za fortyfikacje i fosy.
"	"{Teleport}
{Poziom podstawowy}

Przenosi wybrany przyjazny oddzia³ na dowolne niezajête pole na polu bitwy. Nie mo¿e teleportowaæ za fortyfikacje i fosy.
"	"{Teleport}
{Poziom zaawansowany}

Przenosi wybrany przyjazny oddzia³ na dowolne niezajête pole na polu bitwy. Nie mo¿e teleportowaæ za fortyfikacje. 
"	"{Teleport}
{Poziom eksperta}

Przenosi wybrany przyjazny oddzia³ na dowolne niezajête pole na polu bitwy.
"	 COMBAT_SPELL|CREATURE_TARGET
Usuniêcie przeszkody	Usuniêcie przeszkody	1		x	 	 	6	4	4	4	0	0	0	0	0	5	5	5	5	10	5	5	15	5	1	1	1	1	"{Usuniêcie przeszkody}

Usuwa normaln¹ przeszkodê (drzewo, ska³ê, itd.) z pola bitwy zgodnie z wyborem rzucaj¹cego czar.
"	"{Usuniêcie przeszkody}
{Poziom podstawowy}

Usuwa normaln¹ przeszkodê (drzewo, ska³ê, itd.) z pola bitwy zgodnie z wyborem rzucaj¹cego czar.
"	"{Usuniêcie przeszkody}
{Poziom zaawansowany}

Usuwa normaln¹ przeszkodê (drzewo, ska³ê, itd.) lub œcianê ognia z pola bitwy zgodnie z wyborem rzucaj¹cego czar.
"	"{Usuniêcie przeszkody}
{Poziom eksperta}

Usuwa normaln¹ lub magiczn¹ przeszkodê z pola bitwy zgodnie z wyborem rzucaj¹cego czar.
"	 COMBAT_SPELL|OBSTACLE_TARGET
Klonowanie	Klonowanie	4	 	x	 	 	18	15	15	15	0	5	5	6	7	5	10	12	5	10	5	0	0	5	20	20	40	50	"{Klonowanie}

Tworzy lustrzane odbicie dowolnego przyjaznego oddzia³u poziomów 1-5, który ma te same w³aœciwoœci co orygina³, ale zostaje zniszczony po pierwszym ataku.
"	"{Klonowanie}
{Poziom podstawowy}

Tworzy lustrzane odbicie dowolnego przyjaznego oddzia³u poziomów 1-5, który ma te same w³aœciwoœci co orygina³, ale zostaje zniszczony po pierwszym ataku.
"	"{Klonowanie}
{Poziom zaawansowany}

Tworzy lustrzane odbicie dowolnego przyjaznego oddzia³u poziomów 1-6, który ma te same w³aœciwoœci co orygina³, ale zostaje zniszczony po pierwszym ataku.
"	"{Klonowanie}
{Poziom eksperta}

Tworzy lustrzane odbicie dowolnego przyjaznego oddzia³u, który ma te same w³aœciwoœci co orygina³, ale zostaje zniszczony po pierwszym ataku.
"	 COMBAT_SPELL|CREATURE_TARGET
¯ywio³ak ognia	¯ywio³ak ognia	4			x		23	20	16	16	0	2	2	3	4	0	0	7	10	0	10	0	0	11	40	50	60	70	"{Przyzwanie ¿ywio³aka ognia}

Przyzywa oddzia³ ¿ywio³aków ognia po stronie bohatera rzucaj¹cego czar. 
"	"{Przyzwanie ¿ywio³aka ognia}
{Poziom podstawowy}

Przyzywa oddzia³ ¿ywio³aków ognia po stronie bohatera rzucaj¹cego czar.
"	"{Przyzwanie ¿ywio³aka ognia}
{Poziom zaawansowany}

Przyzywa oddzia³ ¿ywio³aków ognia po stronie bohatera rzucaj¹cego czar. 
"	"{Przyzwanie ¿ywio³aka ognia}
{Poziom eksperta}

Przyzywa oddzia³ ¿ywio³aków ognia po stronie bohatera rzucaj¹cego czar. 
"	 COMBAT_SPELL
¯ywio³ak ziemi	¯ywio³ak ziemi	4	x				24	21	17	17	0	2	2	3	4	10	10	7	10	10	10	0	0	11	40	50	60	70	"{Przyzwanie ¿ywio³aka ziemi}

Przyzywa oddzia³ ¿ywio³aków ziemi po stronie bohatera rzucaj¹cego czar. 
"	"{Przyzwanie ¿ywio³aka ziemi}
{Poziom podstawowy}

Przyzywa oddzia³ ¿ywio³aków ziemi po stronie bohatera rzucaj¹cego czar. 
"	"{Przyzwanie ¿ywio³aka ziemi}
{Poziom zaawansowany}

Przyzywa oddzia³ ¿ywio³aków ziemi po stronie bohatera rzucaj¹cego czar. 
"	"{Przyzwanie ¿ywio³aka ziemi}
{Poziom eksperta}

Przyzywa oddzia³ ¿ywio³aków ziemi po stronie bohatera rzucaj¹cego czar. 
"	 COMBAT_SPELL
¯ywio³ak wody	¯ywio³ak wody	4		x			22	19	19	19	0	2	2	3	4	10	10	7	0	10	10	0	0	11	40	50	60	70	"{Przyzwanie ¿ywio³aka wody}

Przyzywa oddzia³ ¿ywio³aków wody po stronie bohatera rzucaj¹cego czar. 
"	"{Przyzwanie ¿ywio³aka wody}
{Poziom podstawowy}

Przyzywa oddzia³ ¿ywio³aków wody po stronie bohatera rzucaj¹cego czar. 
"	"{Przyzwanie ¿ywio³aka wody}
{Poziom zaawansowany}

Przyzywa oddzia³ ¿ywio³aków wody po stronie bohatera rzucaj¹cego czar. 
"	"{Przyzwanie ¿ywio³aka wody}
{Poziom eksperta}

Przyzywa oddzia³ ¿ywio³aków wody po stronie bohatera rzucaj¹cego czar. 
"	 COMBAT_SPELL
¯ywio³ak powietrza	¯ywio³ak powietrza	4				x	22	19	19	19	0	2	2	3	4	10	10	7	10	10	0	0	0	11	40	50	60	70	"{Przyzwanie ¿ywio³aka powietrza}

Przyzywa oddzia³ ¿ywio³aków powietrza po stronie bohatera rzucaj¹cego czar. 
"	"{Przyzwanie ¿ywio³aka powietrza}
{Poziom podstawowy}

Przyzywa oddzia³ ¿ywio³aków powietrza po stronie bohatera rzucaj¹cego czar. 
"	"{Przyzwanie ¿ywio³aka powietrza}
{Poziom zaawansowany}

Przyzywa oddzia³ ¿ywio³aków powietrza po stronie bohatera rzucaj¹cego czar. 
"	"{Przyzwanie ¿ywio³aka powietrza}
{Poziom eksperta}

Przyzywa oddzia³ ¿ywio³aków powietrza po stronie bohatera rzucaj¹cego czar. 
"	 COMBAT_SPELL
																																	
Creature Abilities																																	
																																	
Kamienne spojrzenie	Kamienne spojrzenie	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Trucizna	Trucizna	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Spêtanie	Spêtanie	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Choroba	Choroba	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Parali¿	Parali¿	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Staroœæ	Staroœæ	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Œmiertelny ob³ok	Œmiertelny ob³ok	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Piorun	Piorun	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Pomocne zaklêcia	Pomocne zaklêcia	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Spojrzenie œmierci	Spojrzenie œmierci	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Zioniêcie kwasem	Zioniêcie kwasem	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
																
